subject	session	roundn	fact	rts	response	cond
4	1	1	24	11.930000	7000.000000	0
4	1	1	23	4.420000	3000.000000	0
4	1	1	2	8.610000	5000.000000	0
4	1	1	19	8.000000	6000.000000	0
4	1	1	20	4.920000	12000.000000	0
4	1	1	21	31.190000	750.000000	0
4	1	1	22	4.790000	12000.000000	0
4	1	1	7	8.060000	4000.000000	0
4	1	1	15	10.250000	6000.000000	0
4	1	1	8	5.130000	2000.000000	0
4	1	1	12	3.580000	500.000000	0
4	1	1	9	10.990000	5000.000000	0
4	1	1	10	17.480000	3200.000000	0
4	1	1	18	7.430000	9000.000000	0
4	1	1	4	18.650000	2000.000000	0
4	1	1	5	5.240000	4000.000000	0
4	1	1	1	3.890000	1500.000000	0
4	1	1	13	6.460000	5000.000000	0
4	1	1	3	16.350000	8000.000000	0
4	1	1	11	4.700000	1500.000000	0
4	1	1	14	39.650000	8000.000000	0
4	1	1	16	10.740000	800.000000	0
4	1	1	17	4.680000	5000.000000	0
4	1	1	6	5.090000	500.000000	0
4	1	2	24	99.720000	6500.000000	0
4	1	2	4	10.300000	1340.000000	0
4	1	2	7	9.300000	7700.000000	0
4	1	2	23	8.570000	2700.000000	0
4	1	2	21	23.750000	2500.000000	0
4	1	2	19	8.930000	6400.000000	0
4	1	2	2	18.600000	4300.000000	0
4	1	2	15	18.590000	10500.000000	0
4	1	2	12	6.570000	1000.000000	0
4	1	2	16	27.050000	980.000000	0
4	1	2	17	17.980000	5000.000000	0
4	1	2	9	36.860000	3000.000000	0
4	1	2	20	5.010000	9900.000000	0
4	1	2	8	44.140000	4800.000000	0
4	1	2	1	22.680000	1300.000000	0
4	1	2	3	5.010000	10500.000000	0
4	1	2	10	41.900000	4000.000000	0
4	1	2	11	10.890000	1380.000000	0
4	1	2	13	23.020000	9900.000000	0
4	1	2	5	145.940000	4000.000000	0
4	1	2	18	8.000000	6800.000000	0
4	1	2	6	61.190000	930.000000	0
4	1	2	14	21.010000	5600.000000	0
4	1	3	24	39.130000	5460.000000	0
4	1	3	19	9.720000	4800.000000	0
4	1	3	18	13.000000	7500.000000	0
4	1	3	8	12.640000	4600.000000	0
4	1	3	10	20.050000	5400.000000	0
4	1	3	21	10.280000	2600.000000	0
4	1	3	4	3.960000	2600.000000	0
4	1	3	7	16.000000	6400.000000	0
4	1	3	11	11.990000	1331.000000	0
4	1	3	1	14.130000	1380.000000	0
4	1	3	13	6.060000	8400.000000	0
4	1	3	5	28.350000	5600.000000	0
4	1	3	2	16.980000	4400.000000	0
4	1	3	9	14.730000	6200.000000	0
4	1	3	15	15.980000	8800.000000	0
4	1	3	12	12.300000	986.000000	0
4	1	3	23	9.260000	2000.000000	0
4	1	3	17	36.920000	4300.000000	0
4	1	3	14	12.120000	6400.000000	0
4	1	3	16	22.920000	98.000000	0
4	1	4	7	61.600000	4000.000000	0
4	1	4	24	11.260000	7400.000000	0
4	1	4	13	26.510000	8800.000000	0
4	1	4	10	18.940000	6200.000000	0
4	1	4	16	7.620000	1064.000000	0
4	1	4	12	3.830000	1026.000000	0
4	1	4	19	9.730000	7500.000000	0
4	1	4	15	7.030000	9900.000000	0
4	1	4	21	15.230000	2100.000000	0
4	1	4	23	51.800000	2800.000000	0
4	1	4	2	10.450000	5000.000000	0
4	1	4	8	8.170000	7200.000000	0
4	1	4	1	10.470000	1500.000000	0
4	1	4	17	21.280000	5800.000000	0
4	1	5	23	7.780000	0.000000	0
4	1	5	2	31.630000	4400.000000	0
4	1	5	21	4.150000	2150.000000	0
4	1	5	13	7.830000	8300.000000	0
4	1	5	10	28.100000	4400.000000	0
4	1	5	8	55.860000	7200.000000	0
4	1	5	1	16.730000	1360.000000	0
4	1	5	19	10.300000	4600.000000	0
4	1	5	7	12.030000	7200.000000	0
4	1	6	8	0.000000	0.000000	0
4	1	6	7	0.000000	3650.000000	0
4	1	6	2	17.420000	4400.000000	0
4	1	6	1	11.170000	1340.000000	0
4	1	6	23	7.230000	4380.000000	0
4	1	6	19	6.590000	4380.000000	0
4	1	7	23	6.440000	2530.000000	0
4	1	7	8	23.990000	3630.000000	0
4	1	7	2	22.220000	4750.000000	0
4	1	7	7	26.340000	5000.000000	0
4	1	8	7	4.170000	7333.000000	0
4	1	9	4	81.640000	2600.000000	0
4	1	9	16	44.370000	1060.000000	0
4	1	9	19	27.380000	4730.000000	0
4	1	9	3	20.010000	7800.000000	0
4	1	9	17	15.110000	9800.000000	0
4	1	9	11	3.940000	1331.000000	0
4	1	9	18	42.960000	7700.000000	0
4	1	9	8	23.100000	2600.000000	0
4	1	9	13	8.020000	8300.000000	0
4	1	9	7	10.930000	7300.000000	0
4	1	9	23	15.590000	2600.000000	0
4	1	9	5	20.510000	5800.000000	0
4	1	9	21	4.480000	2150.000000	0
4	1	9	12	19.640000	1020.000000	0
4	1	9	15	29.910000	10000.000000	0
4	1	9	24	19.390000	9900.000000	0
4	1	9	2	9.280000	4700.000000	0
4	1	9	6	5.650000	980.000000	0
4	1	9	10	14.460000	7700.000000	0
4	1	9	20	4.190000	9900.000000	0
4	1	9	9	17.550000	7500.000000	0
4	1	9	22	36.770000	8300.000000	0
4	1	9	1	4.910000	1360.000000	0
4	1	9	14	38.180000	7000.000000	0
14	1	1	3	20.980000	8000.000000	0
14	1	1	20	15.540000	8000.000000	0
14	1	1	1	10.930000	2000.000000	0
14	1	1	9	19.330000	4500.000000	0
14	1	1	2	12.160000	5000.000000	0
14	1	1	13	8.350000	5000.000000	0
14	1	1	5	12.680000	6000.000000	0
14	1	1	11	6.840000	2000.000000	0
14	1	1	18	17.320000	6000.000000	0
14	1	1	7	12.280000	9000.000000	0
14	1	1	23	15.070000	2000.000000	0
14	1	1	8	6.180000	1500.000000	0
14	1	1	16	6.930000	1300.000000	0
14	1	1	6	12.530000	2000.000000	0
14	1	1	22	9.360000	6000.000000	0
14	1	1	21	8.200000	2000.000000	0
14	1	1	14	8.750000	8000.000000	0
14	1	1	17	6.770000	5000.000000	0
14	1	1	24	10.710000	3000.000000	0
14	1	1	4	3.970000	4500.000000	0
14	1	1	12	6.070000	3200.000000	0
14	1	1	19	12.310000	2300.000000	0
14	1	1	10	5.920000	1500.000000	0
14	1	1	15	6.610000	6000.000000	0
14	1	2	7	15.600000	9900.000000	0
14	1	2	10	15.410000	6000.000000	0
14	1	2	12	5.670000	1300.000000	0
14	1	2	20	10.250000	10500.000000	0
14	1	2	4	5.630000	1300.000000	0
14	1	2	23	12.920000	2300.000000	0
14	1	2	2	12.950000	4500.000000	0
14	1	2	6	7.450000	930.000000	0
